semesterCode,departmentCode,courseCode,courseTitle,courseCredit,section,facultyCode,time,room,seatCapacity,course_upper,dayOfWeek,start,end
253,ACT,ACT201,Introduction to Financial Accounting,3.0,1,AhU,RA 11:20 AM - 12:50 PM,NAC510,40,ACT201,RA,11:20,12:50
253,ACT,ACT201,Introduction to Financial Accounting,3.0,10,IAC,ST 09:40 AM - 11:10 AM,NAC411,40,ACT201,ST,09:40,11:10
253,ACT,ACT201,Introduction to Financial Accounting,3.0,11,MdM,ST 11:20 AM - 12:50 PM,NAC410,40,ACT201,ST,11:20,12:50
253,ACT,ACT201,Introduction to Financial Accounting,3.0,12,MIBS,ST 08:00 AM - 09:30 AM,NAC310,40,ACT201,ST,08:00,09:30
253,ACT,ACT201,Introduction to Financial Accounting,3.0,13,MN,MW 01:00 PM - 02:30 PM,NAC411,40,ACT201,MW,01:00,02:30
253,ACT,ACT201,Introduction to Financial Accounting,3.0,14,MN,MW 02:40 PM - 04:10 PM,NAC410,40,ACT201,MW,02:40,04:10
253,ACT,ACT201,Introduction to Financial Accounting,3.0,15,MN,ST 01:00 PM - 02:30 PM,NAC510,40,ACT201,ST,01:00,02:30
253,ACT,ACT201,Introduction to Financial Accounting,3.0,16,MN,ST 02:40 PM - 04:10 PM,NAC507,40,ACT201,ST,02:40,04:10
253,ACT,ACT201,Introduction to Financial Accounting,3.0,17,NNh,MW 09:40 AM - 11:10 AM,NAC310,40,ACT201,MW,09:40,11:10
253,ACT,ACT201,Introduction to Financial Accounting,3.0,18,NNh,MW 11:20 AM - 12:50 PM,NAC309,40,ACT201,MW,11:20,12:50
253,ACT,ACT201,Introduction to Financial Accounting,3.0,19,SHA1,ST 02:40 PM - 04:10 PM,NAC510,40,ACT201,ST,02:40,04:10
253,ACT,ACT201,Introduction to Financial Accounting,3.0,2,ARm,ST 01:00 PM - 02:30 PM,NAC310,40,ACT201,ST,01:00,02:30
253,ACT,ACT201,Introduction to Financial Accounting,3.0,20,TsA,MW 08:00 AM - 09:30 AM,NAC411,40,ACT201,MW,08:00,09:30
253,ACT,ACT201,Introduction to Financial Accounting,3.0,21,TBA,MW 06:00 PM - 07:30 PM,NAC206,40,ACT201,MW,06:00,07:30
