id,semesterCode,studentNumber,courseCode,studentDepartment,addedOn,priority
706399,191,61781,ENG105,42,2018-12-20 22:50:28,1
706400,191,61781,PSY101,42,2018-12-20 22:50:28,1
601039,191,82720,CHE101L,42,2018-12-02 18:19:45,1
705653,191,1230830,CSE311,42,2019-01-12 16:54:08,1
705655,191,1230830,CSE311L,42,2019-01-12 16:54:25,1
705656,191,1230830,EEE141,42,2019-01-12 16:55:01,1
705658,191,1230830,PHY108,42,2019-01-12 16:55:33,1
693019,191,1310426,BIO103L,42,2019-01-03 03:07:23,1
693021,191,1310426,CHE101L,42,2019-01-03 03:08:07,1
693013,191,1310426,CSE231,42,2019-01-03 03:01:33,1
693014,191,1310426,CSE231L,42,2019-01-03 03:01:33,1
693016,191,1310426,PHY107,42,2019-01-03 03:03:02,1
693018,191,1310426,PHY107L,42,2019-01-03 03:03:54,1
706341,191,1320097,MAT116,42,2019-01-13 19:10:56,1
683774,191,1320156,CSE273,42,2018-12-28 15:42:12,1
683764,191,1320156,CSE311,42,2018-12-28 15:40:33,1
683766,191,1320156,CSE311L,42,2018-12-28 15:40:43,1
683769,191,1320156,EEE111,42,2018-12-28 15:41:09,1
683770,191,1320156,EEE111L,42,2018-12-28 15:41:18,1
683768,191,1320156,EEE141,42,2018-12-28 15:41:03,1
703587,191,1320164,CSE273,42,2019-01-09 00:49:40,1
703589,191,1320164,MAT120,42,2019-01-09 00:50:08,1
680500,191,1320826,CSE173,42,2018-12-27 11:48:01,1
703396,191,1320834,EEE111,42,2019-01-08 22:46:20,1
703397,191,1320834,EEE111L,42,2019-01-08 22:46:35,1
703398,191,1320834,ENG103,42,2019-01-08 22:47:03,1
703402,191,1320834,MAT116,42,2019-01-08 22:48:53,1
703401,191,1320834,MAT120,42,2019-01-08 22:48:36,1
703662,191,1321089,CHE101,42,2019-01-09 03:47:49,1
568347,191,1321089,EEE141,42,2018-11-26 19:28:44,1
568356,191,1321089,EEE141L,42,2018-11-26 19:28:58,1
568362,191,1321089,MAT120,42,2018-11-26 19:29:08,1
677800,191,1321089,PAD201,42,2018-12-25 19:19:58,1
568379,191,1321089,PSY101,42,2018-11-26 19:29:33,1
594654,191,1330012,CHE101,42,2018-11-30 23:13:17,1
687069,191,1330012,ECO101,42,2018-12-30 15:53:20,1
594667,191,1330012,ENG115,42,2018-11-30 23:15:51,1
594661,191,1330012,PHI104,42,2018-11-30 23:15:03,1
594651,191,1330012,PHY108,42,2018-11-30 23:13:00,1
570495,191,1330075,CSE231,42,2018-11-26 20:20:04,3
570496,191,1330075,CSE231L,42,2018-11-26 20:20:04,3
